feature_id,area,feature,user_story,expected_behavior,code_evidence,test_evidence,verification_status,latest_test_result,errors,fix_status,retest_status,notes
chart-001,LineChart,Plain multi-series rendering,"As an analyst, I can plot one or more time series together.","Valid series are date-aligned and rendered with deterministic colors, labels, and units; invalid or undersized series do not crash the chart.",packages/og-components/src/components/line-chart/line-chart.services.ts,packages/og-components/src/components/line-chart/__tests__/line-chart.services.test.ts,passed_automated,139 tests passed,,fixed,passed,The schema supports arbitrary semantic series for oil-and-gas and domain-neutral products.
chart-002,LineChart,Forecast filtering,"As an analyst, I can include forecast series without confusing them with actuals.",Forecast series render dashed and can be included or excluded without changing actual series.,packages/og-components/src/components/line-chart/line-chart.services.ts,packages/og-components/src/components/line-chart/__tests__/line-chart.services.test.ts,passed_automated,139 tests passed,,fixed,passed,
chart-003,LineChart,Legend visibility,"As an analyst, I can toggle individual series from the legend.",Each legend control toggles only its series and exposes its current visible state accessibly.,packages/og-components/src/machines/line-chart.machine.ts,packages/og-components/src/machines/__tests__/line-chart.machine.test.ts,passed_automated,139 tests passed and browser interaction passed,,fixed,passed,Legend buttons expose aria-pressed and are driven by XState.
chart-004,LineChart,Dual axes,"As an analyst, I can compare series with materially different units.",Configured series render on a secondary right axis while all other series remain on the primary axis.,packages/og-components/src/components/line-chart/line-chart.services.ts,packages/og-components/src/components/line-chart/__tests__/line-chart.services.test.ts,passed_automated,139 tests passed,,fixed,passed,Per-series axis overrides and the legacy key list are supported.
chart-005,LineChart,Responsive sizing,"As a product developer, I can place a chart in a responsive container.",The chart follows container width when width is omitted and uses the explicit width when supplied.,packages/og-components/src/components/line-chart/line-chart.view.tsx,apps/playground/src/routes/components/line-chart.tsx,passed_manual,Playground browser resize and docs build passed,,not_needed,passed,ResizeObserver lifecycle is isolated in the uPlot adapter.
chart-006,LineChart,Value formatting and typography,"As an analyst, I can read and format axis and tooltip values consistently.","Plain grouped related and forecast charts share functional X and context-aware Y formatters; tooltip labels and values share compact typography; axis tick axis label tooltip body and header legend title and font-family sizes and weights are configurable.",packages/og-components/src/components/line-chart/chart-presentation.ts,packages/og-components/src/components/line-chart/__tests__/chart-presentation.test.ts,passed_automated,139 tests passed and browser inspection passed,,fixed,passed,Custom Y formatter output is complete and receives location axis chart series label and unit context.
chart-007,LineChart,Interactive decline forecast,"As an analyst, I can fit and edit a piecewise forecast for a selected series.",Forecast configuration selects a primary series projects to a horizon preserves C0 continuity and emits committed segment changes.,packages/og-components/src/components/decline-curve/decline-curve.tsx,packages/og-components/src/components/decline-curve/__tests__/decline-math.test.ts,passed_manual,139 tests passed and Forecast mode browser interaction passed,,fixed,passed,The unified LineChart routes opt-in forecasting to the compatibility engine.
chart-008,LineChart,Forecast equations,"As an analyst, I can model operational and decline phases with the appropriate equation.",Flat linear ramp exponential harmonic hyperbolic stretched exponential and Duong segments evaluate consistently.,packages/og-components/src/components/decline-curve/decline-math.ts,packages/og-components/src/components/decline-curve/__tests__/decline-math.test.ts,passed_automated,139 tests passed,,not_needed,passed,
chart-009,LineChart,Forecast segment editing,"As an analyst, I can insert reshape reorder recolor and remove forecast segments.",All edit paths normalize segment boundaries and keep legal widths and continuity before callbacks fire.,packages/og-components/src/components/decline-curve/decline-math.ts,packages/og-components/src/components/decline-curve/__tests__/decline-math.test.ts,passed_automated,139 tests passed and Forecast mode browser interaction passed,,not_needed,passed,
chart-010,LineChart,Operational annotations,"As an analyst, I can add edit select and remove event or knowledge ranges.",Annotations retain stable IDs valid ranges types descriptions colors and derived statistics and emit committed changes.,packages/og-components/src/components/decline-curve/decline-curve.tsx,apps/playground/src/routes/components/line-chart.tsx,passed_manual,Annotate mode and annotation-only browser interactions passed,,fixed,passed,Defining annotations as an empty array enables authoring.
